#
# Parameters for  94Nb
#
# Level density
#
d1adjust   p   1.00000
d2adjust   p   1.00000
d3adjust   p   1.00000
rvdadjust  p   1.00000
avdadjust  p   1.00000
rvsoadjust p   1.00000
avsoadjust p   1.00000
vso1adjust p   1.00000
vso2adjust p   1.00000
wso1adjust p   1.00000
wso2adjust p   1.00000
rcadjust   p   1.00000
v1adjust   d   1.00000
v2adjust   d   1.00000
v3adjust   d   1.00000
v4adjust   d   1.00000
rvadjust   d   1.00000
avadjust   d   1.00000
w1adjust   d   1.00000
w2adjust   d   1.00000
d1adjust   d   1.00000
d2adjust   d   1.00000
d3adjust   d   1.00000
rvdadjust  d   1.00000
avdadjust  d   1.00000
rvsoadjust d   1.00000
avsoadjust d   1.00000
vso1adjust d   1.00000
vso2adjust d   1.00000
wso1adjust d   1.00000
wso2adjust d   1.00000
rcadjust   d   1.00000
v1adjust   t   1.00000
v2adjust   t   1.00000
v3adjust   t   1.00000
v4adjust   t   1.00000
rvadjust   t   1.00000
avadjust   t   1.00000
w1adjust   t   1.00000
w2adjust   t   1.00000
d1adjust   t   1.00000
d2adjust   t   1.00000
d3adjust   t   1.00000
rvdadjust  t   1.00000
avdadjust  t   1.00000
rvsoadjust t   1.00000
avsoadjust t   1.00000
vso1adjust t   1.00000
vso2adjust t   1.00000
wso1adjust t   1.00000
wso2adjust t   1.00000
rcadjust   t   1.00000
v1adjust   h   1.00000
v2adjust   h   1.00000
v3adjust   h   1.00000
v4adjust   h   1.00000
rvadjust   h   1.00000
avadjust   h   1.00000
w1adjust   h   1.00000
w2adjust   h   1.00000
d1adjust   h   1.00000
d2adjust   h   1.00000
d3adjust   h   1.00000
rvdadjust  h   1.00000
avdadjust  h   1.00000
rvsoadjust h   1.00000
avsoadjust h   1.00000
vso1adjust h   1.00000
vso2adjust h   1.00000
wso1adjust h   1.00000
wso2adjust h   1.00000
rcadjust   h   1.00000
v1adjust   a   1.00000
v2adjust   a   1.00000
v3adjust   a   1.00000
v4adjust   a   1.00000
rvadjust   a   1.00000
avadjust   a   1.00000
w1adjust   a   1.00000
w2adjust   a   1.00000
d1adjust   a   1.00000
d2adjust   a   1.00000
d3adjust   a   1.00000
rvdadjust  a   1.00000
avdadjust  a   1.00000
rvsoadjust a   1.00000
avsoadjust a   1.00000
vso1adjust a   1.00000
vso2adjust a   1.00000
wso1adjust a   1.00000
wso2adjust a   1.00000
rcadjust   a   1.00000
